importer_iso3,canal,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,dep_share_sea,oil_v_total,oil_q_total,oil_q_canal,oil_v_canal,dep_oil_share_q,dep_oil_share_v,criticality_oil_tonnes,rerouting_share,Stakes_ic,total_naval_fleet,proximity_score,ability_score,Entity,Year,regime_score,regime_scaled
TTO,Taiwan Strait,20678336.65510819,19062492149.798927,4334852.782900834,4673381635.709133,16343483.872207357,14389110514.089792,222692.70915168495,164383163.6484622,15475.126211725354,207217.5829399596,79145726.22090803,85237437.42755418,30.18175180408299,0.010769372453208075,2.855,0.046,4.953911328475715e-4,0.03074655835390905,0.010769372453208075,0.010769372453208075,1.6,0.8,0.0034461991850265835,NA,0,NA,Trinidad and Tobago,2024,4,0.8
TUN,Gibraltar Strait,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,7724624.1752430145,9907429804.61151,4411672.414940001,3312951.760303013,4428832367.6585455,5478597436.952964,13.665491262793957,0.3287722480026861,279797.272,570708.183,187633.01227843837,91989.57810045902,0.3287722480026861,0.3287722480026861,NA,0.4,NA,58,0,58,Tunisia,2024,2,0.4
TUN,Malacca Strait,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,1198471.4169319028,3117482189.719432,935916.532464302,262554.88446760067,2601649285.534801,515832904.1846309,23.00941665945064,0.05100884301588307,279797.272,570708.183,29111.164114526866,14272.135123720336,0.05100884301588307,0.05100884301588307,NA,0.8,NA,58,0,58,Tunisia,2024,2,0.4
TUN,Panama Canal,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,274575.7763456066,154507439.11897546,194458.4063568776,80117.369988729,105556818.85385478,48950620.26512069,6.157253704042887,0.01168638022876859,279797.272,570708.183,6669.512826207646,3269.8173075641876,0.01168638022876859,0.01168638022876859,NA,0.4,NA,58,0,58,Tunisia,2024,2,0.4
TUN,Strait of Hormuz,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,792463.0244385542,675473694.5556164,722532.7830712697,69930.24136728441,536151814.7981106,139321879.75750571,11.013866712990689,0.03372848233040082,279797.272,570708.183,19249.12086613066,9437.137344746352,0.03372848233040082,0.03372848233040082,NA,0,NA,58,0,58,Tunisia,2024,2,0.4
TUN,Suez Canal,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,3154916.5135834115,5409746956.574359,2170815.489457673,984101.0241257384,4029898330.611846,1379848625.9625132,12.87404774451186,0.1342782471872146,279797.272,570708.183,76633.6944686401,37570.68725192432,0.1342782471872146,0.1342782471872146,NA,0.4,NA,58,0,58,Tunisia,2024,2,0.4
TUN,Taiwan Strait,23495365.628244583,36486762863.95504,13474672.258737825,20018291940.759907,10020693.36950676,16468470923.195131,576337.3179423313,1079732933.0442748,531108.5863285742,45228.73161375703,863101433.7473842,216631499.2968906,30.18175180408299,0.02452982971456705,279797.272,570708.183,13999.37454569997,6863.3794367604,0.02452982971456705,0.02452982971456705,NA,0.8,NA,58,0,58,Tunisia,2024,2,0.4
TUR,Gibraltar Strait,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,89203630.22322251,90504704718.54292,41983716.33041998,47219913.89280253,36101217927.430565,54403486791.112335,13.665491262793957,0.4473541752203542,3068259.195,4840713.348,2165513.3272726997,1372598.5615414928,0.44735417522035426,0.4473541752203542,56.2,0.4,15.084782788430346,182,0,182,Turkey,2024,1,0.2
TUR,Malacca Strait,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,28413375.341770977,38923511006.52605,18692542.69022883,9720832.651542144,32290746332.05423,6632764674.471818,23.00941665945064,0.1424924306268342,3068259.195,4840713.348,689765.0109242804,437203.7104886836,0.1424924306268342,0.1424924306268342,56.2,0.8,1.6016149202456162,182,0,182,Turkey,2024,1,0.2
TUR,Panama Canal,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,9228679.69456001,4621951526.108162,6747010.099028398,2481669.595531612,2294393275.214082,2327558250.89408,6.157253704042887,0.04628161861576289,3068259.195,4840713.348,224036.04900036872,142004.00187729765,0.04628161861576289,0.04628161861576289,56.2,0.4,1.5606161797235247,182,0,182,Turkey,2024,1,0.2
