importer_iso3,canal,RP_ic
CZE,Taiwan Strait,NA
DEU,Gibraltar Strait,743.4226927731083
DEU,Malacca Strait,78.94137026828012
DEU,Panama Canal,44.975931992355186
DEU,Strait of Hormuz,68.35386644933872
DEU,Suez Canal,347.62775183301375
DEU,Taiwan Strait,29.178137340844724
DJI,Gibraltar Strait,NA
DJI,Malacca Strait,NA
DJI,Panama Canal,NA
DJI,Strait of Hormuz,NA
DJI,Suez Canal,NA
DJI,Taiwan Strait,NA
DMA,Gibraltar Strait,NA
DMA,Malacca Strait,NA
DMA,Panama Canal,NA
DMA,Strait of Hormuz,NA
DMA,Suez Canal,NA
DMA,Taiwan Strait,NA
DNK,Gibraltar Strait,32.54806894703224
DNK,Malacca Strait,3.553473821893668
DNK,Panama Canal,2.673954227797819
DNK,Strait of Hormuz,0.8310325538430681
DNK,Suez Canal,14.730470579139052
DNK,Taiwan Strait,1.8391895368065665
DOM,Gibraltar Strait,NA
DOM,Malacca Strait,NA
DOM,Panama Canal,NA
DOM,Strait of Hormuz,NA
DOM,Suez Canal,NA
DOM,Taiwan Strait,NA
DZA,Gibraltar Strait,135.4879485362031
DZA,Malacca Strait,5.144258356304753
DZA,Panama Canal,2.7589566937634906
DZA,Strait of Hormuz,17.200633447031983
DZA,Suez Canal,31.068549915781972
DZA,Taiwan Strait,1.3003348960746894
ECU,Gibraltar Strait,17.157821912620957
ECU,Malacca Strait,1.081692031415337
ECU,Panama Canal,116.87964308383658
ECU,Strait of Hormuz,2.383542313662885
ECU,Suez Canal,4.800333798531304
ECU,Taiwan Strait,2.151449513996419
EGY,Gibraltar Strait,259.9653266143927
EGY,Malacca Strait,26.843752937088535
EGY,Panama Canal,27.592163463019336
EGY,Strait of Hormuz,80.86160711616884
EGY,Suez Canal,266.05120306688383
EGY,Taiwan Strait,12.572212709941734
ERI,Gibraltar Strait,NA
ERI,Malacca Strait,NA
ERI,Panama Canal,NA
ERI,Strait of Hormuz,NA
ERI,Suez Canal,NA
ERI,Taiwan Strait,NA
ESP,Gibraltar Strait,2228.5079603972204
ESP,Malacca Strait,100.40158448896435
ESP,Panama Canal,129.88682850910206
ESP,Strait of Hormuz,226.8329722938026
ESP,Suez Canal,646.7695485958302
ESP,Taiwan Strait,33.32905890607925
EST,Gibraltar Strait,1.3823725812582928
EST,Malacca Strait,0.20317207393707198
EST,Panama Canal,0.05704065492719747
EST,Strait of Hormuz,0.13390524016706337
EST,Suez Canal,0.9886642407480493
EST,Taiwan Strait,0.09524710033068509
