"","importer_iso3","canal","q_sea_predict","v_sea_predict","q_sea_import","v_sea_import","q_sea_export","v_sea_export","q_canal","v_canal","q_canal_import","q_canal_export","v_canal_import","v_canal_export","share_q","dep_share_sea","oil_v_total","oil_q_total","oil_q_canal","oil_v_canal","dep_oil_share_q","dep_oil_share_v","criticality_oil_tonnes","rerouting_share","Stakes_ic"
"189","CHL","Panama Canal",94669198.0462034,155818653169.577,43975783.2189394,65508007009.4213,50693414.827264,90310646160.1556,24641478.5723514,40666734466.6294,13564278.5580071,11077200.0143443,19884760090.2998,20781974376.3296,6.15725370404289,0.260290348718546,4949211.161,8703341.267,2265395.73340394,1288231.89897841,0.260290348718546,0.260290348718546,18.5,0.4,2.88922287077586
"190","CHL","Strait of Hormuz",94669198.0462034,155818653169.577,43975783.2189394,65508007009.4213,50693414.827264,90310646160.1556,1615212.81254889,1029671719.60407,83450.7550849616,1531762.05746393,187216137.021801,842455582.582271,11.0138667129907,0.0170616509475509,4949211.161,8703341.267,148493.37077497,84441.7132947053,0.0170616509475509,0.0170616509475509,18.5,0,0.315640542529692
"191","CHL","Suez Canal",94669198.0462034,155818653169.577,43975783.2189394,65508007009.4213,50693414.827264,90310646160.1556,1131046.79763119,2210801099.67266,153457.686113366,977589.111517825,601130233.864447,1609670865.80821,12.8740477445119,0.0119473579683139,4949211.161,8703341.267,103981.933637247,59129.9974012412,0.0119473579683139,0.0119473579683139,18.5,0.4,0.132615673448284
"192","CHL","Taiwan Strait",94669198.0462034,155818653169.577,43975783.2189394,65508007009.4213,50693414.827264,90310646160.1556,7594174.51798191,17510851088.0196,1989317.14134917,5604857.37663274,8154770246.95054,9356080841.06902,30.181751804083,0.0802180083354627,4949211.161,8703341.267,698164.702302582,397015.862167063,0.0802180083354627,0.0802180083354627,18.5,0.8,0.296806630841212
"193","CHN","Gibraltar Strait",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,161563413.47892,278493928356.327,129828956.260257,31734457.218663,112263974112.079,166229954244.248,13.665491262794,0.0507128197611095,302481885.174,517655523.637,26251771.268546,15339709.3238297,0.0507128197611095,0.0507128197611095,772.5,0.4,23.5053919592743
"194","CHN","Malacca Strait",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,903768479.399181,935959649509.612,771894040.609853,131874438.789328,502700074052.451,433259575457.161,23.0094166594506,0.283682097416955,302481885.174,517655523.637,146849604.684816,85808695.6167948,0.283682097416955,0.283682097416955,772.5,0.8,43.8288840509195
"195","CHN","Panama Canal",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,198028390.026142,248980206364.992,161025603.225125,37002786.8010174,96044922141.7491,152935284223.243,6.15725370404289,0.0621587390036715,302481885.174,517655523.637,32176814.5875612,18801892.5538692,0.0621587390036715,0.0621587390036715,772.5,0.4,28.8105755282017
"196","CHN","Strait of Hormuz",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,320013331.259657,271176208196.352,301542060.748856,18471270.5108008,216825842682.143,54350365514.2085,11.0138667129907,0.100448350526096,302481885.174,517655523.637,51997643.4900594,30383806.4297524,0.100448350526096,0.100448350526096,772.5,0,77.5963507814095
"197","CHN","Suez Canal",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,408780994.620827,490294676940.922,354846946.464427,53934048.1563999,246613294213.606,243681382727.316,12.8740477445119,0.128311456508548,302481885.174,517655523.637,66421134.2075588,38811891.2541275,0.128311456508548,0.128311456508548,772.5,0.4,59.4723600917122
"198","CHN","Taiwan Strait",3185849539.42591,3205066971820.78,2634624736.44378,1366173156614.27,551224802.982132,1838893815206.52,2010409752.67637,1317678393429.96,1766863066.41104,243546686.265326,792400801651.797,525277591778.165,30.181751804083,0.631043534164719,302481885.174,517655523.637,326663171.11578,190879237.841008,0.631043534164719,0.631043534164719,772.5,0.8,97.496226028449
"199","CIV","Gibraltar Strait",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,11823972.5280871,10339287056.0395,9131357.37837781,2692615.14970932,5652688198.57978,4686598857.45973,13.665491262794,0.462047967495974,2431018.61,3773207.971,1743403.07394016,1123247.20769539,0.462047967495974,0.462047967495974,NA,0.4,NA
"200","CIV","Malacca Strait",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,2731301.41502268,2798823489.78922,1205253.5720143,1526047.84300838,1279445176.67879,1519378313.11042,23.0094166594506,0.10673166437357,2431018.61,3773207.971,402720.766772452,259466.662368423,0.10673166437357,0.10673166437357,NA,0.8,NA
"201","CIV","Panama Canal",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,493718.351280738,375334341.081032,475943.303297986,17775.0479827522,329196871.845739,46137469.2352937,6.15725370404289,0.0192931402862143,2431018.61,3773207.971,72797.0307135649,46901.9830811276,0.0192931402862143,0.0192931402862143,NA,0.4,NA
"202","CIV","Strait of Hormuz",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,147976.589814071,209231866.906616,114038.646822072,33937.9429919988,158596993.502657,50634873.4039592,11.0138667129907,0.00578251365166512,2431018.61,3773207.971,21818.6266028791,14057.398299777,0.00578251365166512,0.00578251365166512,NA,0,NA
"203","CIV","Suez Canal",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,4059514.92704805,3583704457.34248,2640187.51205204,1419327.41499601,1830344151.45179,1753360305.89069,12.8740477445119,0.158634555062314,2431018.61,3773207.971,598561.167637161,385643.555545554,0.158634555062314,0.158634555062314,NA,0.4,NA
"204","CIV","Taiwan Strait",25590357.1920596,25378401684.6296,16293784.0981975,13185836727.9518,9296573.09386208,12192564956.6778,2582572.20392869,1745788016.9573,443723.677343625,2138848.52658507,943941439.944385,801846577.012917,30.181751804083,0.100919740375099,2431018.61,3773207.971,380791.168814573,245337.766968233,0.100919740375099,0.100919740375099,NA,0.8,NA
"205","CMR","Gibraltar Strait",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,7585372.74050252,5393869969.14893,3796729.54038307,3788643.20011945,2149495008.92933,3244374960.2196,13.665491262794,0.544031123273245,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"206","CMR","Malacca Strait",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,492014.161841706,426292418.081784,120084.136843235,371930.02499847,235987193.280239,190305224.801545,23.0094166594506,0.0352877869407581,NA,NA,NA,NA,NA,NA,NA,0.8,NA
"207","CMR","Panama Canal",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,31455.9388871914,22418774.0847936,31199.6456774544,256.293209737034,21997463.5238891,421310.560904421,6.15725370404289,0.0022560539016148,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"208","CMR","Strait of Hormuz",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,122037.275870649,349731577.671375,104309.106185319,17728.1696853295,227550723.323218,122180854.348157,11.0138667129907,0.00875264519548417,NA,NA,NA,NA,NA,NA,NA,0,NA
"209","CMR","Suez Canal",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,1141165.07676833,479413972.160864,1035367.19630528,105797.880463054,297152719.756335,182261252.404528,12.8740477445119,0.0818455914815525,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"210","CMR","Taiwan Strait",13942902.1907129,12560771807.8169,6700423.92167746,6258808765.80732,7242478.26903543,6301963042.00954,2162283.70823022,2256348940.41548,513580.136967028,1648703.57126319,1116779255.01014,1139569685.40534,30.181751804083,0.15508132228529,NA,NA,NA,NA,NA,NA,NA,0.8,NA
"211","COD","Gibraltar Strait",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,1767366.2704762,4040738577.95725,1529457.67400809,237908.596468106,2115367130.27499,1925371447.68226,13.665491262794,0.171162491904966,1164.762,1835.165,314.111414456777,199.363566396212,0.171162491904966,0.171162491904966,NA,0.4,NA
"212","COD","Malacca Strait",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,515377.15716541,2810826388.88552,338745.577340106,176631.579825303,847030517.072894,1963795871.81263,23.0094166594506,0.0499122564263722,1164.762,1835.165,91.5972260647033,58.1358996196941,0.0499122564263722,0.0499122564263722,NA,0.8,NA
"213","COD","Panama Canal",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,2484.93908065043,7216240.42579984,1876.93581571521,608.00326493522,2176804.4519596,5039435.97384024,6.15725370404289,0.000240656604339045,1164.762,1835.165,0.441644577301863,0.280307667783154,0.000240656604339045,0.000240656604339045,NA,0.4,NA
"214","COD","Strait of Hormuz",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,799266.112364512,1727138965.96499,681332.665712061,117933.446652451,544211651.111269,1182927314.85372,11.0138667129907,0.0774057883602386,1164.762,1835.165,142.052393596117,90.1593208620482,0.0774057883602386,0.0774057883602386,NA,0,NA
