iso3,canal,q,v,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD
GRD,Mona Passage,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,18893.683725931256,36500854.15692792,18306.67997394553,587.0037519857243,33000126.06950221,3500728.0874257134,1.564083260487246,0.0
GRD,Ombai Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,4.460370212734908,9305.24125315624,4.460370212734908,0.0,9305.24125315624,0.0,0.05166216352982437,0.0
GRD,Oresund Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,318.1688860321672,735173.6533703936,313.96599261955305,4.202893412614184,670936.35942779,64237.29394260347,3.1747749928181026,0.0
GRD,Panama Canal,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,65488.87029667175,61216109.27876984,65408.69573885567,80.17455781607687,60918407.47383962,297701.80493022583,6.157253704042887,0.0
GRD,Strait of Hormuz,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,727.6237625012868,885211.8566312608,727.6237625012868,0.0,885211.8566312608,0.0,11.013866712990687,0.0
GRD,Suez Canal,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,2364.3934915527902,7316736.672700166,2192.57841249732,171.81507905546985,7089599.295677884,227137.3770222822,12.87404774451186,0.0
GRD,Sunda Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,75.73826884207537,157400.25984135916,75.73826884207537,0.0,157400.25984135916,0.0,6.94227969415126,0.0
GRD,Taiwan Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,627.8148827322121,1466794.569651203,627.8148827322121,0.0,1466794.569651203,0.0,30.18175180408299,0.0
GRD,Torres Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,0.0,0.0,0.0,0.0,0.0,0.0,4.513103072394245,0.0
GRD,Tsugaru Strait,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,316.147817438531,2501029.976309843,316.10104465158105,0.0467727869499328,2500259.1754303407,770.80087950198,3.2023519549929347,0.0
GRD,Windward Passage,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,7041.892911824962,15441093.772094637,6879.825725211183,162.06718661377835,14503352.690414345,937741.081680293,1.6668765196968645,0.0
GRD,Yucatan Channel,224002.9200667689,377535630.03036916,214733.01165982633,301477336.63767844,211326.17771726853,281737543.57642615,3406.8339425578,19739793.06125229,4854.595184105477,7951653.81094471,4703.512929258165,151.08225484731145,6612310.728496475,1339343.082448235,2.864518296990316,0.0
GTM,Bab el-Mandeb Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,174825.68596871162,526311528.94855225,146824.6701086132,28001.01586009841,415892194.7997607,110419334.14879152,13.126096746661805,0.0
GTM,Bohai Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,621635.6983937505,790560234.2453871,397741.0861220044,223894.61227174615,742605576.2259524,47954658.01943468,8.117292212620809,0.0
GTM,Bosporus Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,552469.8387619474,509363516.9838322,304218.6101708072,248251.2285911401,453863815.3955134,55499701.58831874,6.705622313986158,0.0
GTM,Cape of Good Hope,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,421.0740142858514,2404099.405117026,418.1593055616015,2.9147087242498744,2287970.816826879,116128.588290147,6.426963930739,0.0
